2025-10-21 18:56:02,386 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-10-21 18:56:02,403 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-10-21 18:56:02,404 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-10-21 18:56:02,404 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-10-21 18:56:02,406 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-10-21 18:56:02,406 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-10-21 18:56:02,407 INFO  SwAddin.cs: 201 - Setting up command manager
2025-10-21 18:56:02,408 INFO  SwAddin.cs: 204 - Adding command manager
2025-10-21 18:56:02,410 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-10-21 18:56:02,411 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-10-21 18:56:02,411 INFO  SwAddin.cs: 210 - Adding event handlers
2025-10-21 18:56:02,413 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-10-21 18:56:35,144 INFO  SwAddin.cs: 294 - Assembly export called for file robot arm total
2025-10-21 18:56:38,024 INFO  SwAddin.cs: 313 - Saving assembly
2025-10-21 18:56:38,205 INFO  SwAddin.cs: 316 - Opening property manager
2025-10-21 18:56:38,216 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robot arm total
2025-10-21 18:56:38,219 INFO  ExportHelperExtension.cs: 1136 - Found 85 in robot arm total
2025-10-21 18:56:38,221 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in robot arm total
2025-10-21 18:56:38,221 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-10-21 18:56:38,222 INFO  ExportHelperExtension.cs: 1160 - 17 components to check
2025-10-21 18:56:38,223 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Part4-1
2025-10-21 18:56:38,224 INFO  ExportHelperExtension.cs: 1136 - Found 32 in Part4-1
2025-10-21 18:56:38,224 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Part4-1
2025-10-21 18:56:38,225 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Part5-1
2025-10-21 18:56:38,225 INFO  ExportHelperExtension.cs: 1136 - Found 31 in Part5-1
2025-10-21 18:56:38,226 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Part5-1
2025-10-21 18:56:38,226 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from robotics proj-1
2025-10-21 18:56:38,227 INFO  ExportHelperExtension.cs: 1136 - Found 35 in robotics proj-1
2025-10-21 18:56:38,228 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in robotics proj-1
